,Name,Sex,Age,Team,Games,Year,Season,Sport,Medal
187,ANDREEVA Nadezda,Female,42,RPC,2020 Summer,2020,Summer,Canoe Sprint,0
188,ANDREJCIK Samuel,Male,24,Slovakia,2020 Summer,2020,Summer,Boccia,3
189,ANDRES BARRIO Sara,Female,34,Spain,2020 Summer,2020,Summer,Athletics,0
190,ANDRIEVSKAIA Tatiana,Female,42,RPC,2020 Summer,2020,Summer,Archery,0
191,ANGELINE Anais Anne Lise,Female,21,Mauritius,2020 Summer,2020,Summer,Athletics,0
192,ANILA IZZAT BAIG Anila,Female,29,Pakistan,2020 Summer,2020,Summer,Athletics,0
193,ANJOS Alex,Male,30,Sao Tome and Principe,2020 Summer,2020,Summer,Athletics,0
194,ANKER Carlos,Male,24,Netherlands,2020 Summer,2020,Summer,Wheelchair Tennis,0
195,ANO Adou Herve,Male,37,Côte d'Ivoire,2020 Summer,2020,Summer,Powerlifting,0
196,ANOBILE Fabio,Male,27,Italy,2020 Summer,2020,Summer,Cycling Road,0
197,ANON Somkhoun,Female,43,Thailand,2020 Summer,2020,Summer,Powerlifting,0
198,ANTOSOVA Katerina,Female,56,Czech Republic,2020 Summer,2020,Summer,Cycling Road,0
199,AOKI Charles,Male,30,United States of America,2020 Summer,2020,Summer,Wheelchair Rugby,2
200,APARECIDA de LIMA Moniza,Female,22,Brazil,2020 Summer,2020,Summer,Goalball,0
201,APINIS Aigars,Male,47,Latvia,2020 Summer,2020,Summer,Athletics,1
202,APPLEGATE Jessica-Jane,Female,24,Great Britain,2020 Summer,2020,Summer,Swimming,3
203,AQUINO Jonatan,Male,32,Argentina,2020 Summer,2020,Summer,Boccia,0
204,AR Ismail,Male,35,Turkey,2020 Summer,2020,Summer,Wheelchair Basketball,0
205,ARAI Daisuke,Male,32,Japan,2020 Summer,2020,Summer,Wheelchair Tennis,0
206,ARANTES Samuel Henrique,Male,34,Brazil,2020 Summer,2020,Summer,Sitting Volleyball,0
207,ARAUJO Lucia,Female,39,Brazil,2020 Summer,2020,Summer,Judo,1
208,ARAUJO Wilians,Male,29,Brazil,2020 Summer,2020,Summer,Judo,0
209,ARAVICH Danielle,Female,24,United States of America,2020 Summer,2020,Summer,Athletics,0
210,ARBATSKAIA Olga,Female,24,RPC,2020 Summer,2020,Summer,Sitting Volleyball,0
211,ARCE PAYNO Marta,Female,43,Spain,2020 Summer,2020,Summer,Judo,0
212,AREKHI Nourmohammad,Male,37,Islamic Republic of Iran,2020 Summer,2020,Summer,Athletics,0
213,ARENDSE Britney,Female,21,Ireland,2020 Summer,2020,Summer,Powerlifting,0
214,ARESTI Andonis,Male,38,Cyprus,2020 Summer,2020,Summer,Athletics,0
215,ARESTOVA Irina,Female,25,RPC,2020 Summer,2020,Summer,Goalball,0
216,AREZKI Hakim,Male,38,France,2020 Summer,2020,Summer,Football 5-a-side,0
217,ARINGHIERI Giulia,Female,33,Italy,2020 Summer,2020,Summer,Sitting Volleyball,0
218,ARIPIN Jaenal,Male,33,Indonesia,2020 Summer,2020,Summer,Athletics,0
219,ARIYASU Ryohei,Male,34,Japan,2020 Summer,2020,Summer,Rowing,0
220,ARLOY Zsofia,Female,39,Hungary,2020 Summer,2020,Summer,Table Tennis,0
221,ARMENDARIZ ZUBILLAGA Estibalit,Female,46,Spain,2020 Summer,2020,Summer,Rowing,0
222,ARNOLD Hollie,Female,26,Great Britain,2020 Summer,2020,Summer,Athletics,1
223,ARSAE Masaberee,Male,22,Thailand,2020 Summer,2020,Summer,Athletics,0
224,ARTAKHINOVA Stepanida,Female,31,RPC,2020 Summer,2020,Summer,Archery,1
225,ARTIUKHOV Oleksandr,Male,17,Ukraine,2020 Summer,2020,Summer,Swimming,0
226,ARTS Ilse,Female,30,Netherlands,2020 Summer,2020,Summer,Wheelchair Basketball,3
227,ARUNA,Female,21,India,2020 Summer,2020,Summer,Taekwondo,0
228,ARVIND,Male,27,India,2020 Summer,2020,Summer,Athletics,0
229,ASANO Takashi,Male,19,Japan,2020 Summer,2020,Summer,Table Tennis,0
